Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_to_Loan_Ratio,EMI,Risk_Category,Default_Probability,Predicted_Status,Predicted_Status_Label,Risk_Level,Money_At_Risk
LP001002,Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,1,5849.0,45.6953125,0.35555555555555557,Low Risk,0.27454683995448337,1,Approved,Low Risk,35.14199551417387
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0,6091.0,47.5859375,0.35555555555555557,Low Risk,0.2775828594308777,1,Approved,Low Risk,35.53060600715234
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,3000.0,45.45454545454545,0.18333333333333332,Low Risk,0.2147307771280802,1,Approved,Low Risk,14.172231290453293
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,4941.0,41.175,0.3333333333333333,Low Risk,0.27266624901910863,1,Approved,Low Risk,32.71994988229304
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1,6000.0,42.5531914893617,0.39166666666666666,Low Risk,0.27389454504513944,1,Approved,Low Risk,38.61913085136466
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,9613.0,36.00374531835206,0.7416666666666667,Low Risk,0.18177379883493083,1,Approved,Low Risk,48.53360428892653
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1,3849.0,40.51578947368421,0.2638888888888889,Low Risk,0.2619252256273108,1,Approved,Low Risk,24.882896434594524
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5540.0,35.063291139240505,0.4388888888888889,High Risk,0.8007896693394222,0,Rejected,High Risk,126.5247677556287
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1,5532.0,32.92857142857143,0.4666666666666667,Low Risk,0.13140936154533178,1,Approved,Low Risk,22.07677273961574
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0,23809.0,68.22063037249283,0.9694444444444444,Low Risk,0.250619725939618,1,Approved,Low Risk,87.46628435292669
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1,3900.0,55.714285714285715,0.19444444444444445,Low Risk,0.1282784932994897,1,Approved,Low Risk,8.97949453096428
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1,4340.0,39.81651376146789,0.30277777777777776,Low Risk,0.1340155989820152,1,Approved,Low Risk,14.607700289039657
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1,11179.0,55.895,0.5555555555555556,Low Risk,0.19048736924659604,1,Approved,Low Risk,38.09747384931921
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0,4693.0,41.166666666666664,0.31666666666666665,Low Risk,0.34934859776589744,1,Approved,Medium Risk,39.82574014531231
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1,2385.0,140.2941176470588,0.14166666666666666,Low Risk,0.1211386562555623,1,Approved,Low Risk,2.059357156344559
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1,4950.0,39.6,0.3472222222222222,Low Risk,0.2722495974279834,1,Approved,Low Risk,34.03119967849792
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1,3596.0,35.96,0.4166666666666667,Low Risk,0.39012826380366383,1,Approved,Medium Risk,39.012826380366384
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0,3510.0,46.18421052631579,0.2111111111111111,High Risk,0.9206282247873918,0,Rejected,High Risk,69.96774508384178
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0,4887.0,36.744360902255636,0.36944444444444446,Low Risk,0.2826917293447976,1,Approved,Low Risk,37.59800000285808
LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,1,6100.0,53.04347826086956,0.3194444444444444,Low Risk,0.21834883767792412,1,Approved,Low Risk,25.110116332961276
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0,7660.0,73.65384615384616,0.28888888888888886,High Risk,0.9354157342311373,0,Rejected,High Risk,97.28323636003829
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1,11580.0,36.76190476190476,0.875,Low Risk,0.28887997923605824,1,Approved,Low Risk,90.99719345935834
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0,4511.0,38.88793103448276,0.32222222222222224,High Risk,0.8924160003754584,0,Rejected,High Risk,103.52025604355318
LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0,5282.0,47.160714285714285,0.3111111111111111,High Risk,0.9218442991403041,0,Rejected,High Risk,103.24656150371406
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,0,6642.0,43.98675496688742,0.41944444444444445,Low Risk,0.1567000497380412,1,Approved,Low Risk,23.66170751044422
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1,9560.0,50.05235602094241,0.5305555555555556,Low Risk,0.13303806052885336,1,Approved,Low Risk,25.410269561010992
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1,5052.0,41.40983606557377,0.3388888888888889,Low Risk,0.12123702373476142,1,Approved,Low Risk,14.790916895640892
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1,5266.0,47.872727272727275,0.3055555555555556,Low Risk,0.17973618390770696,1,Approved,Low Risk,19.770980229847765
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0,1442.0,41.2,0.09722222222222222,Low Risk,0.35078228604209793,1,Approved,Medium Risk,12.277380011473428
LP001087,Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,1,5833.0,48.608333333333334,0.3333333333333333,Low Risk,0.09643072452851498,1,Approved,Low Risk,11.571686943421797
LP001091,Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,0,7535.0,37.48756218905473,0.5583333333333333,Low Risk,0.25951324321911673,1,Approved,Low Risk,52.162161887042465
